id,family_id,product_code,variant_suffix,configuration_type,configuration_name,specifications,bounding_box,page_number,notes,created_at
104,14,1106-73-16,-16,STANDARD,,"{""Artikelnr"": ""1106-73-16"", ""ID mm"": ""25,0"", ""ID tum"": ""1\"""", ""YD mm"": ""40,6"", ""Arb.tr. MPa"": ""32,7"", ""Böjradie mm"": ""310"", ""Vikt kg/m"": ""1,99""}","[173.94666714138455, 317.7444110107422, 532.4762216244104, 331.88040954589843]",10,,2025-10-30 12:59:52
105,15,1106-43-08,-08,STANDARD,,"{""Artikelnr"": ""1106-43-08"", ""ID mm"": ""13,0"", ""ID tum"": ""1/2\"""", ""YD mm"": ""25,2"", ""Arb.tr. MPa"": ""47,0"", ""Böjradie mm"": ""160"", ""Vikt kg/m"": ""0,94""}","[173.94666714138455, 644.1888214111328, 532.4762216244104, 658.3008209228516]",10,,2025-10-30 12:59:52
106,15,1106-43-10,-10,STANDARD,,"{""Artikelnr"": ""1106-43-10"", ""ID mm"": ""16,0"", ""ID tum"": ""5/8\"""", ""YD mm"": ""28,8"", ""Arb.tr. MPa"": ""41,0"", ""Böjradie mm"": ""210"", ""Vikt kg/m"": ""1,13""}","[173.94666714138455, 658.3008209228516, 532.4762216244104, 672.4128204345703]",10,,2025-10-30 12:59:52
107,15,1106-43-12,-12,STANDARD,,"{""Artikelnr"": ""1106-43-12"", ""ID mm"": ""19,0"", ""ID tum"": ""3/4\"""", ""YD mm"": ""32,5"", ""Arb.tr. MPa"": ""37,5"", ""Böjradie mm"": ""260"", ""Vikt kg/m"": ""1,49""}","[173.94666714138455, 672.4128204345703, 532.4762216244104, 686.5248199462891]",10,,2025-10-30 12:59:52
108,15,1106-43-16,-16,STANDARD,,"{""Artikelnr"": ""1106-43-16"", ""ID mm"": ""25,0"", ""ID tum"": ""1\"""", ""YD mm"": ""40,6"", ""Arb.tr. MPa"": ""32,7"", ""Böjradie mm"": ""310"", ""Vikt kg/m"": ""1,99""}","[173.94666714138455, 686.5248199462891, 532.4762216244104, 700.6368194580078]",10,,2025-10-30 12:59:52
109,16,1110-00-04,,STANDARD,,"{""Artikelnr"": ""1110-00-04"", ""ID mm"": ""6,5"", ""ID tum"": ""1/4\"""", ""YD mm"": ""11,5"", ""Arb.tr. MPa"": ""10,0"", ""Böjradie mm"": ""25"", ""Vikt kg/m"": ""0,15""}","[173.93142918178015, 288.4409845987956, 537.1885637555804, 302.18098500569664]",11,,2025-10-30 13:00:12
110,16,1110-00-06,,STANDARD,,"{""Artikelnr"": ""1110-00-06"", ""ID mm"": ""10,0"", ""ID tum"": ""3/8\"""", ""YD mm"": ""14,8"", ""Arb.tr. MPa"": ""10,0"", ""Böjradie mm"": ""40"", ""Vikt kg/m"": ""0,21""}","[173.93142918178015, 302.18098500569664, 537.1885637555804, 315.92098541259764]",11,,2025-10-30 13:00:12
111,16,1110-00-08,,STANDARD,,"{""Artikelnr"": ""1110-00-08"", ""ID mm"": ""13,0"", ""ID tum"": ""1/2\"""", ""YD mm"": ""18,0"", ""Arb.tr. MPa"": ""10,0"", ""Böjradie mm"": ""50"", ""Vikt kg/m"": ""0,27""}","[173.93142918178015, 315.92098541259764, 537.1885637555804, 329.6609858194987]",11,,2025-10-30 13:00:12
112,16,1110-03-06,,STANDARD,,"{""Artikelnr"": ""1110-03-06"", ""ID mm"": ""10,0"", ""ID tum"": ""3/8\"""", ""YD mm"": ""14,8"", ""Arb.tr. MPa"": ""10,0"", ""Böjradie mm"": ""40"", ""Vikt kg/m"": ""0,21""}","[173.93142918178015, 329.6609858194987, 537.1885637555804, 343.40098622639977]",11,,2025-10-30 13:00:12
113,16,1110-03-08,,STANDARD,,"{""Artikelnr"": ""1110-03-08"", ""ID mm"": ""13,0"", ""ID tum"": ""1/2\"""", ""YD mm"": ""18,0"", ""Arb.tr. MPa"": ""10,0"", ""Böjradie mm"": ""50"", ""Vikt kg/m"": ""0,27""}","[173.93142918178015, 343.40098622639977, 537.1885637555804, 357.14098663330077]",11,,2025-10-30 13:00:12
